
permutación 01234, P_n = 0
permutación 02631475, P_n = 8
permutación 02631547, P_n = 7
permutación 02631574, P_n = 8
permutación 02631745, P_n = 7
permutación 02631754, P_n = 7
permutación 02634157, P_n = 7
permutación 02634175, P_n = 7
permutación 02634517, P_n = 5
permutación 02634571, P_n = 6
permutación 02634715, P_n = 7
permutación 02634751, P_n = 7
permutación 02635147, P_n = 7
permutación 02635174, P_n = 8
permutación 02635417, P_n = 6
permutación 02635471, P_n = 8
permutación 02635714, P_n = 8
permutación 02635741, P_n = 8
permutación 02637145, P_n = 7
permutación 02637154, P_n = 8
permutación 02637415, P_n = 8
permutación 02637451, P_n = 7
permutación 02637514, P_n = 9
permutación 02637541, P_n = 7
permutación 02641357, P_n = 7
permutación 02641375, P_n = 9
permutación 02641537, P_n = 8
permutación 02641573, P_n = 8
permutación 02641735, P_n = 8
permutación 02641753, P_n = 8
permutación 02643157, P_n = 6
permutación 02643175, P_n = 7
permutación 02643517, P_n = 6
permutación 02643571, P_n = 7
permutación 02643715, P_n = 8
permutación 02643751, P_n = 8
permutación 02645137, P_n = 7
permutación 02645173, P_n = 7
permutación 02645317, P_n = 7
permutación 02645371, P_n = 8
permutación 02645713, P_n = 7
permutación 02645731, P_n = 7
permutación 02647135, P_n = 8
permutación 02647153, P_n = 9
permutación 02647315, P_n = 8
permutación 02647351, P_n = 8
permutación 02647513, P_n = 8
permutación 02647531, P_n = 8
permutación 02651347, P_n = 6
permutación 02651374, P_n = 8
permutación 02651437, P_n = 6
permutación 02651473, P_n = 8
permutación 02651734, P_n = 7
permutación 02651743, P_n = 6
permutación 02653147, P_n = 6
permutación 02653174, P_n = 7
permutación 02653417, P_n = 5
permutación 02653471, P_n = 7
permutación 02653714, P_n = 8
permutación 02653741, P_n = 7
permutación 02654137, P_n = 6
permutación 02654173, P_n = 6
permutación 02654317, P_n = 4
permutación 02654371, P_n = 6
permutación 02654713, P_n = 7
permutación 02654731, P_n = 6
permutación 02657134, P_n = 7
permutación 02657143, P_n = 7
permutación 02657314, P_n = 8
permutación 02657341, P_n = 7
permutación 02657413, P_n = 8
permutación 02657431, P_n = 6
permutación 02671345, P_n = 5
permutación 02671354, P_n = 6
permutación 02671435, P_n = 7
permutación 02671453, P_n = 7
permutación 02671534, P_n = 7
permutación 02671543, P_n = 6
permutación 02673145, P_n = 7
permutación 02673154, P_n = 7
permutación 02673415, P_n = 7
permutación 02673451, P_n = 6
permutación 02673514, P_n = 8
permutación 02673541, P_n = 7
permutación 02674135, P_n = 7
permutación 02674153, P_n = 8
permutación 02674315, P_n = 7
permutación 02674351, P_n = 7
permutación 02674513, P_n = 7
permutación 02674531, P_n = 7
permutación 02675134, P_n = 7
permutación 02675143, P_n = 7
permutación 02675314, P_n = 7
permutación 02675341, P_n = 6
permutación 02675413, P_n = 7
permutación 02675431, P_n = 5
permutación 02713456, P_n = 5
permutación 02713465, P_n = 6
permutación 02713546, P_n = 8
permutación 02713564, P_n = 7
permutación 02713645, P_n = 7
permutación 02713654, P_n = 6
permutación 02714356, P_n = 7
permutación 02714365, P_n = 8
permutación 02714536, P_n = 7
permutación 02714563, P_n = 7
permutación 02714635, P_n = 8
permutación 02714653, P_n = 8
permutación 02715346, P_n = 7
permutación 02715364, P_n = 8
permutación 02715436, P_n = 7
permutación 02715463, P_n = 8
permutación 02715634, P_n = 7
permutación 02715643, P_n = 7
permutación 02716345, P_n = 7
permutación 02716354, P_n = 8
permutación 02716435, P_n = 8
permutación 02716453, P_n = 8
permutación 02716534, P_n = 7
permutación 02716543, P_n = 6
permutación 02731456, P_n = 6
permutación 02731465, P_n = 7
permutación 02731546, P_n = 8
permutación 02731564, P_n = 7
permutación 02731645, P_n = 7
permutación 02731654, P_n = 7
permutación 02734156, P_n = 7
permutación 02734165, P_n = 7
permutación 02734516, P_n = 7
permutación 02734561, P_n = 5
permutación 02734615, P_n = 7
permutación 02734651, P_n = 6
permutación 02735146, P_n = 8
permutación 02735164, P_n = 8
permutación 02735416, P_n = 8
permutación 02735461, P_n = 8
permutación 02735614, P_n = 7
permutación 02735641, P_n = 7
permutación 02736145, P_n = 7
permutación 02736154, P_n = 8
permutación 02736415, P_n = 8
permutación 02736451, P_n = 7
permutación 02736514, P_n = 8
permutación 02736541, P_n = 6
permutación 02741356, P_n = 7
permutación 02741365, P_n = 8
permutación 02741536, P_n = 8
permutación 02741563, P_n = 8
permutación 02741635, P_n = 9
permutación 02741653, P_n = 8
permutación 02743156, P_n = 6
permutación 02743165, P_n = 7
permutación 02743516, P_n = 8
permutación 02743561, P_n = 6
permutación 02743615, P_n = 8
permutación 02743651, P_n = 7
permutación 02745136, P_n = 7
permutación 02745163, P_n = 9
permutación 02745316, P_n = 7
permutación 02745361, P_n = 7
permutación 02745613, P_n = 7
permutación 02745631, P_n = 7
permutación 02746135, P_n = 8
permutación 02746153, P_n = 9
permutación 02746315, P_n = 8
permutación 02746351, P_n = 8
permutación 02746513, P_n = 8
permutación 02746531, P_n = 7
permutación 02751346, P_n = 7
permutación 02751364, P_n = 8
permutación 02751436, P_n = 8
permutación 02751463, P_n = 9
permutación 02751634, P_n = 8
permutación 02751643, P_n = 8
permutación 02753146, P_n = 8
permutación 02753164, P_n = 8
permutación 02753416, P_n = 7
permutación 02753461, P_n = 7
permutación 02753614, P_n = 8
permutación 02753641, P_n = 8
permutación 02754136, P_n = 8
permutación 02754163, P_n = 8
permutación 02754316, P_n = 6
permutación 02754361, P_n = 6
permutación 02754613, P_n = 8
permutación 02754631, P_n = 7
permutación 02756134, P_n = 7
permutación 02756143, P_n = 7
permutación 02756314, P_n = 8
permutación 02756341, P_n = 7
permutación 02756413, P_n = 8
permutación 02756431, P_n = 7
permutación 02761345, P_n = 6
permutación 02761354, P_n = 7
permutación 02761435, P_n = 7
permutación 02761453, P_n = 7
permutación 02761534, P_n = 7
permutación 02761543, P_n = 6
permutación 02763145, P_n = 6
permutación 02763154, P_n = 7
permutación 02763415, P_n = 7
permutación 02763451, P_n = 5
permutación 02763514, P_n = 7
permutación 02763541, P_n = 6
permutación 02764135, P_n = 8
permutación 02764153, P_n = 8
permutación 02764315, P_n = 6
permutación 02764351, P_n = 6
permutación 02764513, P_n = 7
permutación 02764531, P_n = 7
permutación 02765134, P_n = 6
permutación 02765143, P_n = 6
permutación 02765314, P_n = 6
permutación 02765341, P_n = 5
permutación 02765413, P_n = 6
permutación 02765431, P_n = 4
permutación 03124567, P_n = 3
permutación 03124576, P_n = 6
permutación 03124657, P_n = 6
permutación 03124675, P_n = 7
permutación 03124756, P_n = 7
permutación 03124765, P_n = 6
permutación 03125467, P_n = 5
permutación 03125476, P_n = 7
permutación 03125647, P_n = 5
permutación 03125674, P_n = 5
permutación 03125746, P_n = 7
permutación 03125764, P_n = 6
permutación 03126457, P_n = 5
permutación 03126475, P_n = 7
permutación 03126547, P_n = 5
permutación 03126574, P_n = 7
permutación 03126745, P_n = 5
permutación 03126754, P_n = 6
permutación 03127456, P_n = 5
permutación 03127465, P_n = 6
permutación 03127546, P_n = 7
permutación 03127564, P_n = 7
permutación 03127645, P_n = 6
permutación 03127654, P_n = 5
permutación 03142567, P_n = 5
permutación 03142576, P_n = 8
permutación 03142657, P_n = 7
permutación 03142675, P_n = 7
permutación 03142756, P_n = 7
permutación 03142765, P_n = 7
permutación 03145267, P_n = 5
permutación 03145276, P_n = 7
permutación 03145627, P_n = 5
permutación 03145672, P_n = 5
permutación 03145726, P_n = 7
permutación 03145762, P_n = 6
permutación 03146257, P_n = 7
permutación 03146275, P_n = 8
permutación 03146527, P_n = 6
permutación 03146572, P_n = 8
permutación 03146725, P_n = 7
permutación 03146752, P_n = 7
permutación 03147256, P_n = 7
permutación 03147265, P_n = 8
permutación 03147526, P_n = 8
permutación 03147562, P_n = 7
permutación 03147625, P_n = 8
permutación 03147652, P_n = 6
permutación 03152467, P_n = 6
permutación 03152476, P_n = 8
permutación 03152647, P_n = 7
permutación 03152674, P_n = 7
permutación 03152746, P_n = 8
permutación 03152764, P_n = 8
permutación 03154267, P_n = 6
permutación 03154276, P_n = 8
permutación 03154627, P_n = 7
permutación 03154672, P_n = 7
permutación 03154726, P_n = 8
permutación 03154762, P_n = 8
permutación 03156247, P_n = 7
permutación 03156274, P_n = 7
permutación 03156427, P_n = 7
permutación 03156472, P_n = 7
permutación 03156724, P_n = 7
permutación 03156742, P_n = 7
permutación 03157246, P_n = 8
permutación 03157264, P_n = 8
permutación 03157426, P_n = 9
permutación 03157462, P_n = 8
permutación 03157624, P_n = 8
permutación 03157642, P_n = 8
permutación 03162457, P_n = 6
permutación 03162475, P_n = 8
permutación 03162547, P_n = 7
permutación 03162574, P_n = 8
permutación 03162745, P_n = 7
permutación 03162754, P_n = 8
permutación 03164257, P_n = 7
permutación 03164275, P_n = 9
permutación 03164527, P_n = 7
permutación 03164572, P_n = 7
permutación 03164725, P_n = 9
permutación 03164752, P_n = 8
permutación 03165247, P_n = 6
permutación 03165274, P_n = 8
permutación 03165427, P_n = 6
permutación 03165472, P_n = 7
permutación 03165724, P_n = 8
permutación 03165742, P_n = 8
permutación 03167245, P_n = 7
permutación 03167254, P_n = 7
permutación 03167425, P_n = 7
permutación 03167452, P_n = 7
permutación 03167524, P_n = 7
permutación 03167542, P_n = 7
permutación 03172456, P_n = 6
permutación 03172465, P_n = 7
permutación 03172546, P_n = 8
permutación 03172564, P_n = 7
permutación 03172645, P_n = 7
permutación 03172654, P_n = 7
permutación 03174256, P_n = 7
permutación 03174265, P_n = 8
permutación 03174526, P_n = 7
permutación 03174562, P_n = 7
permutación 03174625, P_n = 8
permutación 03174652, P_n = 8
permutación 03175246, P_n = 8
permutación 03175264, P_n = 8
permutación 03175426, P_n = 8
permutación 03175462, P_n = 8
permutación 03175624, P_n = 8
permutación 03175642, P_n = 8
permutación 03176245, P_n = 6
permutación 03176254, P_n = 7
permutación 03176425, P_n = 8
permutación 03176452, P_n = 7
permutación 03176524, P_n = 6
permutación 03176542, P_n = 6
permutación 03214567, P_n = 3
permutación 03214576, P_n = 6
permutación 03214657, P_n = 6
permutación 03214675, P_n = 7
permutación 03214756, P_n = 7
permutación 03214765, P_n = 6
permutación 03215467, P_n = 5
permutación 03215476, P_n = 7
permutación 03215647, P_n = 5
permutación 03215674, P_n = 5
permutación 03215746, P_n = 7
permutación 03215764, P_n = 6
permutación 03216457, P_n = 5
permutación 03216475, P_n = 7
permutación 03216547, P_n = 6
permutación 03216574, P_n = 7
permutación 03216745, P_n = 5
permutación 03216754, P_n = 6
permutación 03217456, P_n = 5
permutación 03217465, P_n = 6
permutación 03217546, P_n = 7
permutación 03217564, P_n = 7
permutación 03217645, P_n = 6
permutación 03217654, P_n = 6
permutación 03241567, P_n = 5
permutación 03241576, P_n = 8
permutación 03241657, P_n = 6
permutación 03241675, P_n = 7
permutación 03241756, P_n = 7
permutación 03241765, P_n = 6
permutación 03245167, P_n = 5
permutación 03245176, P_n = 6
permutación 03245617, P_n = 5
permutación 03245671, P_n = 5
permutación 03245716, P_n = 7
permutación 03245761, P_n = 6
permutación 03246157, P_n = 7
permutación 03246175, P_n = 8
permutación 03246517, P_n = 6
permutación 03246571, P_n = 8
permutación 03246715, P_n = 7
permutación 03246751, P_n = 7
permutación 03247156, P_n = 7
permutación 03247165, P_n = 7
permutación 03247516, P_n = 8
permutación 03247561, P_n = 7
permutación 03247615, P_n = 7
permutación 03247651, P_n = 6
permutación 03251467, P_n = 6
permutación 03251476, P_n = 8
permutación 03251647, P_n = 7
permutación 03251674, P_n = 7
permutación 03251746, P_n = 8
permutación 03251764, P_n = 8
permutación 03254167, P_n = 6
permutación 03254176, P_n = 8
permutación 03254617, P_n = 7
permutación 03254671, P_n = 7
permutación 03254716, P_n = 8
permutación 03254761, P_n = 8
permutación 03256147, P_n = 6
permutación 03256174, P_n = 7
permutación 03256417, P_n = 7
permutación 03256471, P_n = 7
permutación 03256714, P_n = 6
permutación 03256741, P_n = 7
permutación 03257146, P_n = 8
permutación 03257164, P_n = 8
permutación 03257416, P_n = 9
permutación 03257461, P_n = 8
permutación 03257614, P_n = 7
permutación 03257641, P_n = 8
permutación 03261457, P_n = 6
permutación 03261475, P_n = 8
permutación 03261547, P_n = 6
permutación 03261574, P_n = 8
permutación 03261745, P_n = 7
permutación 03261754, P_n = 8
permutación 03264157, P_n = 7
permutación 03264175, P_n = 8
permutación 03264517, P_n = 7
permutación 03264571, P_n = 7
permutación 03264715, P_n = 8
permutación 03264751, P_n = 8
permutación 03265147, P_n = 6
permutación 03265174, P_n = 8
permutación 03265417, P_n = 6
permutación 03265471, P_n = 7
permutación 03265714, P_n = 8
permutación 03265741, P_n = 8
permutación 03267145, P_n = 6
permutación 03267154, P_n = 6
permutación 03267415, P_n = 7
permutación 03267451, P_n = 7
permutación 03267514, P_n = 7
permutación 03267541, P_n = 7
permutación 03271456, P_n = 6
permutación 03271465, P_n = 7
permutación 03271546, P_n = 8
permutación 03271564, P_n = 7
permutación 03271645, P_n = 7
permutación 03271654, P_n = 6
permutación 03274156, P_n = 7
permutación 03274165, P_n = 8
permutación 03274516, P_n = 7
permutación 03274561, P_n = 7
permutación 03274615, P_n = 8
permutación 03274651, P_n = 8
permutación 03275146, P_n = 8
permutación 03275164, P_n = 8
permutación 03275416, P_n = 8
permutación 03275461, P_n = 8
permutación 03275614, P_n = 7
permutación 03275641, P_n = 8
permutación 03276145, P_n = 6
permutación 03276154, P_n = 7
permutación 03276415, P_n = 8
permutación 03276451, P_n = 7
permutación 03276514, P_n = 6
permutación 03276541, P_n = 6
permutación 03412567, P_n = 3
permutación 03412576, P_n = 6
permutación 03412657, P_n = 5
permutación 03412675, P_n = 5
permutación 03412756, P_n = 5
permutación 03412765, P_n = 5
permutación 03415267, P_n = 5
permutación 03415276, P_n = 7
permutación 03415627, P_n = 5
permutación 03415672, P_n = 5
permutación 03415726, P_n = 7
permutación 03415762, P_n = 6
permutación 03416257, P_n = 6
permutación 03416275, P_n = 7
permutación 03416527, P_n = 6
permutación 03416572, P_n = 7
permutación 03416725, P_n = 7
permutación 03416752, P_n = 7
permutación 03417256, P_n = 6
permutación 03417265, P_n = 7
permutación 03417526, P_n = 7
permutación 03417562, P_n = 7
permutación 03417625, P_n = 6
permutación 03417652, P_n = 6
permutación 03421567, P_n = 4
permutación 03421576, P_n = 7
permutación 03421657, P_n = 6
permutación 03421675, P_n = 6
permutación 03421756, P_n = 6
permutación 03421765, P_n = 6
permutación 03425167, P_n = 5
permutación 03425176, P_n = 7
permutación 03425617, P_n = 5
permutación 03425671, P_n = 5
permutación 03425716, P_n = 7
permutación 03425761, P_n = 6
permutación 03426157, P_n = 7
permutación 03426175, P_n = 7
permutación 03426517, P_n = 6
permutación 03426571, P_n = 7
permutación 03426715, P_n = 7
permutación 03426751, P_n = 7
permutación 03427156, P_n = 7
permutación 03427165, P_n = 7
permutación 03427516, P_n = 7
permutación 03427561, P_n = 7
permutación 03427615, P_n = 7
permutación 03427651, P_n = 6
permutación 03451267, P_n = 3
permutación 03451276, P_n = 5
permutación 03451627, P_n = 5
permutación 03451672, P_n = 5
permutación 03451726, P_n = 6
permutación 03451762, P_n = 6
permutación 03452167, P_n = 4
permutación 03452176, P_n = 6
permutación 03452617, P_n = 5
permutación 03452671, P_n = 5
permutación 03452716, P_n = 7
permutación 03452761, P_n = 6
permutación 03456127, P_n = 3
permutación 03456172, P_n = 5
permutación 03456217, P_n = 4
permutación 03456271, P_n = 5
permutación 03456712, P_n = 3
